Name;Resolver voltage divider;
File;C:\Users\alexandregoncalves\Documents\MCAG\TwinCAT\ResolverTestResults\CSVFiles\ResolverVotageDivider.csv;
Starttime of export;132907764534190000;Thursday, March 3, 2022;11:20:53.419
Endtime of export;132907764927590000;Thursday, March 3, 2022;11:21:32.759


TriggerGroup;Count;ReleaseTime;Comment;

Name;fActPosition (Internal Counter);fActVelocity;fActPosition (Resolver)
SymbolComment;Actual position value;Actual velocity;Actual position value
Data-Type;REAL64;REAL64;REAL64
SampleTime;10;10;10
VariableSize;8;8;8
SymbolBased;True;True;True
IndexGroup;61462;61462;16448
IndexOffset;0;0;1740840
SymbolName;MAIN.afbAxes[3].stAxisStruct.stStatus.fActPosition;MAIN.afbAxes[3].stAxisStruct.stStatus.fActVelocity;GVL.astAxes[9].stStatus.fActPosition
NetID;5.79.68.212.1.1;5.79.68.212.1.1;5.79.68.212.1.1
Port;852;852;852
Offset;0;0;0
ScaleFactor;1;1;1
BitMask;0xffffffffffffffff;0xffffffffffffffff;0xffffffffffffffff
Unit;(None);(None);(None)
Unit ScaleFactor;1;1;1
Unit Offset;0;0;0


132907764582590000;0;0;0.0081217272263152257
132907764582690000;0;0;0.0031731682751812732
132907764582790000;0;0;0.0049873323665231527
132907764582890000;0;0;-0.0011903575372882434
132907764582990000;0;0;-0.004178915719669437
132907764583090000;0;0;0.0091507671372632673
132907764583190000;0;0;-0.00077350192001826015
132907764583290000;0;0;0.0094678270962252429
132907764583390000;0;0;0.0062236773237599446
132907764583490000;0;0;0.0095575623896089548
132907764583590000;0;0;0.011063572557691045
132907764583690000;0;0;0.0047520443159101942
132907764583790000;0;0;0.0018396656874271442
132907764583890000;0;0;0.0063515802328659061
132907764583990000;0;0;0.0044348802742194809
132907764584090000;0;0;0.0076696593237539842
132907764584190000;0;0;0.0013013290689926041
132907764584290000;0;0;-0.0018538603783192437
132907764584390000;0;0;-0.0021522657706893014
132907764584490000;0;0;-0.0031900270336407827
132907764584590000;0;0;0.0015450237177287358
132907764584690000;0;0;0.00026204146457611734
132907764584790000;0;0;0.0025361440821498531
132907764584890000;0;0;-0.00024002369333225512
132907764584990000;0;0;-0.00092961304508604355
132907764585090000;0;0;-0.0039886049021990843
132907764585190000;0;0;-0.0005697900255599948
132907764585290000;0;0;0.008182159364195838
132907764585390000;0;0;0.0025392581155799366
132907764585490000;0;0;0.00082705670367547537
132907764585590000;0;0;-0.0027147335973824903
132907764585690000;0;0;-0.0059065977797380549
132907764585790000;0;0;-0.011208554778399396
132907764585890000;0;0;-0.013076418623578171
132907764585990000;0;0;0.00042431618604918311
132907764586090000;0;0;-0.0078577203155465042
132907764586190000;0;0;-0.00442715964712774
132907764586290000;0;0;-0.0040589599464978489
132907764586390000;0;0;-0.0046528572992391637
