Name;Resolver ciclic error 2;
File;C:\Users\alexandregoncalves\Documents\MCAG\TwinCAT\ResolverTestResults\CSVFiles\Resolver Ciclic Error2.csv;
Starttime of export;132900081483250000;Tuesday, February 22, 2022;13:55:48.325
Endtime of export;132900081936650000;Tuesday, February 22, 2022;13:56:33.665


TriggerGroup;Count;ReleaseTime;Comment;

Name;fActPosition (Internal Counter);fActVelocity;fActPosition (Resolver)
SymbolComment;Actual position value;Actual velocity;Actual position value
Data-Type;REAL64;REAL64;REAL64
SampleTime;10;10;10
VariableSize;8;8;8
SymbolBased;True;True;True
IndexGroup;61462;61462;16448
IndexOffset;0;0;1740840
SymbolName;MAIN.afbAxes[3].stAxisStruct.stStatus.fActPosition;MAIN.afbAxes[3].stAxisStruct.stStatus.fActVelocity;GVL.astAxes[9].stStatus.fActPosition
NetID;5.79.68.212.1.1;5.79.68.212.1.1;5.79.68.212.1.1
Port;852;852;852
Offset;0;0;0
ScaleFactor;1;1;1
BitMask;0xffffffffffffffff;0xffffffffffffffff;0xffffffffffffffff
Unit;(None);(None);(None)
Unit ScaleFactor;1;1;1
Unit Offset;0;0;0


132900081529550000;0;0;-0.070807811462276
132900081529650000;0;0;-0.070688581732927955
132900081529750000;0;0;-0.0710911165229248
132900081529850000;0;0;-0.070708077163708943
132900081529950000;0;0;-0.071095484196860084
132900081530050000;0;0;-0.0710173580907379
132900081530150000;0;0;-0.071263530800381267
132900081530250000;0;0;-0.071097406601308241
132900081530350000;0;0;-0.071170054263103827
132900081530450000;0;0;-0.071772452347213481
132900081530550000;0;0;-0.071809049509190953
132900081530650000;0;0;-0.072261857045249608
132900081530750000;0;0;-0.071331487781141553
132900081530850000;0;0;-0.070808284632842181
132900081530950000;0;0;-0.0717648140766233
132900081531050000;0;0;-0.0713245656743389
132900081531150000;0;0;-0.0707389008819603
132900081531250000;0;0;-0.071535930076714146
132900081531350000;0;0;-0.070985177080595846
132900081531450000;0;0;-0.070324588398678375
132900081531550000;0;0;-0.07049126627865912
132900081531650000;0;0;-0.070423795970293
132900081531750000;0;0;-0.07038430492831986
132900081531850000;0;0;-0.071030513679348664
132900081531950000;0;0;-0.071830481316695158
132900081532050000;0;0;-0.071798484265184689
132900081532150000;0;0;-0.070590488698924578
132900081532250000;0;0;-0.069872001959094446
132900081532350000;0;0;-0.071862553874807236
132900081532450000;0;0;-0.072574075045185288
132900081532550000;0;0;-0.072612042314673025
132900081532650000;0;0;-0.072609085872262114
132900081532750000;0;0;-0.071887152789761558
132900081532850000;0;0;-0.071892657365543372
132900081532950000;0;0;-0.071607029411253714
132900081533050000;0;0;-0.072124916357755461
132900081533150000;0;0;-0.07205024039567462
132900081533250000;0;0;-0.071537809597154042
132900081533350000;0;0;-0.071054191705343
132900081533450000;0;0;-0.071331981869265315
132900081533550000;0;0;-0.072133163839078307
132900081533650000;0;0;-0.071789028641623523
132900081533750000;0;0;-0.071984420070447877
132900081533850000;0;0;-0.0726613098737463
132900081533950000;0;0;-0.072043369357706416
132900081534050000;0;0;-0.072292507179634452
132900081534150000;0;0;-0.071341280907732924
132900081534250000;0;0;-0.0706042115541488
132900081534350000;0;0;-0.069558772797593
132900081534450000;0;0;-0.06975181965366363
132900081534550000;0;0;-0.070089217231595086
132900081534650000;0;0;-0.070585585415104027
132900081534750000;0;0;-0.071330391876857524
132900081534850000;0;0;-0.071693821117779291
132900081534950000;0;0;-0.071952706779283865
132900081535050000;0;0;-0.071769941208640692
132900081535150000;0;0;-0.071392015956268678
132900081535250000;0;0;-0.0710809850412809
132900081535350000;0;0;-0.070296283626874817
132900081535450000;0;0;-0.070941985685403067
132900081535550000;0;0;-0.071226455727252419
132900081535650000;0;0;-0.071626294374145028
132900081535750000;0;0;-0.071408284227108584
132900081535850000;0;0;-0.071988151355909677
132900081535950000;0;0;-0.072144956969775964
132900081536050000;0;0;-0.0715890069350908
