Name;Resolver voltage divider at sine and cosine coild;
File;C:\Users\alexandregoncalves\Documents\MCAG\TwinCAT\ResolverTestResults\CSVFiles\VoltageDividerSineCosCoils.csv;
Starttime of export;132907960342450000;Thursday, March 3, 2022;16:47:14.245
Endtime of export;132907960642850000;Thursday, March 3, 2022;16:47:44.285


TriggerGroup;Count;ReleaseTime;Comment;

Name;fActPosition (Internal Counter);fActVelocity;fActPosition (Resolver)
SymbolComment;Actual position value;Actual velocity;Actual position value
Data-Type;REAL64;REAL64;REAL64
SampleTime;10;10;10
VariableSize;8;8;8
SymbolBased;True;True;True
IndexGroup;61462;61462;16448
IndexOffset;0;0;1740840
SymbolName;MAIN.afbAxes[3].stAxisStruct.stStatus.fActPosition;MAIN.afbAxes[3].stAxisStruct.stStatus.fActVelocity;GVL.astAxes[9].stStatus.fActPosition
NetID;5.79.68.212.1.1;5.79.68.212.1.1;5.79.68.212.1.1
Port;852;852;852
Offset;0;0;0
ScaleFactor;1;1;1
BitMask;0xffffffffffffffff;0xffffffffffffffff;0xffffffffffffffff
Unit;(None);(None);(None)
Unit ScaleFactor;1;1;1
Unit Offset;0;0;0


132907960384750000;29.975998330369645;35.999999999999929;27.419957414568991
132907960384850000;30.335998330369648;36.000000000000171;27.766395654372491
132907960384950000;30.695998330369644;35.999999999999893;28.124651179706021
132907960385050000;31.055998330369643;35.999999999999922;28.477043123989869
132907960385150000;31.415998330369643;35.999999999999893;28.8258016696488
132907960385250000;31.775998330369646;36.000000000000156;29.172539293388322
132907960385350000;32.135998330369645;36.000000000000114;29.518821768325651
132907960385450000;32.495998330369645;36.000000000000085;29.868423528749698
132907960385550000;32.855998330369644;36.000000000000071;30.212405183165188
132907960385650000;33.215998330369644;36.000000000000014;30.559289227088797
132907960385750000;33.575998330369643;35.999999999999893;30.904617255999085
132907960385850000;33.935998330369642;35.999999999999851;31.2522523205129
132907960385950000;34.295998330369642;35.999999999999758;31.606928757745898
132907960386050000;34.655998330369648;36.000000000000313;31.960060401867583
132907960386150000;35.015998330369648;36.000000000000171;32.310314324394682
132907960386250000;35.375998330369647;36.000000000000114;32.654387546229373
132907960386350000;35.735998330369647;36.000000000000028;33.005548616925083
132907960386450000;36.095998330369646;35.9999999999999;33.357724340779811
132907960386550000;36.455998330369646;35.999999999999851;33.706723843616757
132907960386650000;36.815998330369645;35.999999999999758;34.056929599732655
132907960386750000;37.175998330369652;36.000000000000313;34.405521497011115
132907960386850000;37.535998330369651;36.000000000000256;34.756118733097658
132907960386950000;37.89599833036965;36.000000000000085;35.11087113870758
132907960387050000;38.25599833036965;35.999999999999922;35.468140064625814
132907960387150000;38.615998330369649;35.999999999999858;35.820674347522775
132907960387250000;38.975998330369649;35.999999999999766;36.166055465903931
132907960387350000;39.335998330369655;36.000000000000313;36.519375324713863
